@relation LoLDiamondData
@attribute gameId real
@attribute blueWins real
@attribute blueWardsPlaced real
@attribute blueWardsDestroyed real
@attribute blueFirstBlood real
@attribute blueKills real
@attribute blueDeaths real
@attribute blueAssists real
@attribute blueEliteMonsters real
@attribute blueDragons real
@attribute blueHeralds real
@attribute blueTowersDestroyed real
@attribute blueTotalGold real
@attribute blueAvgLevel real
@attribute blueTotalExperience real
@attribute blueTotalMinionsKilled real
@attribute blueTotalJungleMinionsKilled real
@attribute blueGoldDiff real
@attribute blueExperienceDiff real
@attribute blueCSPerMin real
@attribute blueGoldPerMin real
@attribute redWardsPlaced real
@attribute redWardsDestroyed real
@attribute redFirstBlood real
@attribute redKills real
@attribute redDeaths real
@attribute redAssists real
@attribute redEliteMonsters real
@attribute redDragons real
@attribute redHeralds real
@attribute redTowersDestroyed real
@attribute redTotalGold real
@attribute redAvgLevel real
@attribute redTotalExperience real
@attribute redTotalMinionsKilled real
@attribute redTotalJungleMinionsKilled real
@attribute redGoldDiff real
@attribute redExperienceDiff real
@attribute redCSPerMin real
@attribute redGoldPerMin real
@data
4519157822.0,0.0,28.0,2.0,1.0,9.0,6.0,11.0,0.0,0.0,0.0,0.0,17210.0,6.6,17039.0,195.0,36.0,643.0,-8.0,19.5,1721.0,15.0,6.0,0.0,6.0,9.0,8.0,0.0,0.0,0.0,0.0,16567.0,6.8,17047.0,197.0,55.0,-643.0,8.0,19.7,1656.7
4523371949.0,0.0,12.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,14712.0,6.6,16265.0,174.0,43.0,-2908.0,-1173.0,17.4,1471.2,12.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,17620.0,6.8,17438.0,240.0,52.0,2908.0,1173.0,24.0,1762.0
4521474530.0,0.0,15.0,0.0,0.0,7.0,11.0,4.0,1.0,1.0,0.0,0.0,16113.0,6.4,16221.0,186.0,46.0,-1172.0,-1033.0,18.6,1611.3,15.0,3.0,1.0,11.0,7.0,14.0,0.0,0.0,0.0,0.0,17285.0,6.8,17254.0,203.0,28.0,1172.0,1033.0,20.3,1728.5
4524384067.0,0.0,43.0,1.0,0.0,4.0,5.0,5.0,1.0,0.0,1.0,0.0,15157.0,7.0,17954.0,201.0,55.0,-1321.0,-7.0,20.1,1515.7,15.0,2.0,1.0,5.0,4.0,10.0,0.0,0.0,0.0,0.0,16478.0,7.0,17961.0,235.0,47.0,1321.0,7.0,23.5,1647.8
4436033771.0,0.0,75.0,4.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,16400.0,7.0,18543.0,210.0,57.0,-1004.0,230.0,21.0,1640.0,17.0,2.0,1.0,6.0,6.0,7.0,1.0,1.0,0.0,0.0,17404.0,7.0,18313.0,225.0,67.0,1004.0,-230.0,22.5,1740.4
4475365709.0,1.0,18.0,0.0,0.0,5.0,3.0,6.0,1.0,1.0,0.0,0.0,15899.0,7.0,18161.0,225.0,42.0,698.0,101.0,22.5,1589.9,36.0,5.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,15201.0,7.0,18060.0,221.0,59.0,-698.0,-101.0,22.1,1520.1
4493010632.0,1.0,18.0,3.0,1.0,7.0,6.0,7.0,1.0,1.0,0.0,0.0,16874.0,6.8,16967.0,225.0,53.0,2411.0,1563.0,22.5,1687.4,57.0,1.0,0.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,14463.0,6.4,15404.0,164.0,35.0,-2411.0,-1563.0,16.4,1446.3
4496759358.0,0.0,16.0,2.0,0.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,15305.0,6.4,16138.0,209.0,48.0,-2615.0,-800.0,20.9,1530.5,15.0,0.0,1.0,13.0,5.0,11.0,1.0,1.0,0.0,0.0,17920.0,6.6,16938.0,157.0,54.0,2615.0,800.0,15.7,1792.0
4443048030.0,0.0,16.0,3.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,16401.0,7.2,18527.0,189.0,61.0,-1979.0,-771.0,18.9,1640.1,15.0,2.0,1.0,7.0,7.0,5.0,2.0,1.0,1.0,0.0,18380.0,7.2,19298.0,240.0,53.0,1979.0,771.0,24.0,1838.0
4509433346.0,1.0,13.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,0.0,0.0,15057.0,6.8,16805.0,220.0,39.0,-1548.0,-1574.0,22.0,1505.7,16.0,2.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,16605.0,6.8,18379.0,247.0,43.0,1548.0,1574.0,24.7,1660.5
